linker,тип,источник
подчеркнем,однословные,мои
подымайте выше,многословные,нкря
пожалуй,однословные,нкря
пожалуйста,однословные,мои
поистине,однословные,нкря
пойми,однословные,мои
поймите,однословные,мои
полагаю,однословные,мои
полно,однословные,нкря
положим,однословные,ruslinkers;нкря
положительно,однословные,нкря
помимо всего,многословные,нкря
помимо всего прочего,многословные,нкря
помимо того,многословные,ruslinkers;нкря
помимо этого,многословные,нкря
помнится,однословные,мои
понимаете ли,многословные,нкря
понимаешь ли,многословные,нкря
понятно,однословные,ruslinkers;нкря
попросту,однословные,нкря
попросту говоря,многословные,нкря
послушай,однословные,мои
послушайте,однословные,мои
похоже,однословные,нкря
почем знать,многословные,нкря
почитай,однословные,нкря
правда,однословные,ruslinkers;нкря
правильнее,однословные,ruslinkers
правильнее говоря,многословные,ruslinkers
правильнее сказать,многословные,ruslinkers
правильно,однословные,нкря
право,однословные,нкря
право же,многословные,нкря
право слово,многословные,нкря
предположим,однословные,ruslinkers;мои
предположительно,однословные,нкря
представь,однословные,мои
представь себе,многословные,мои
представьте,однословные,мои
представьте себе,многословные,мои
прежде всего,многословные,ruslinkers;нкря
преимущественно,однословные,ruslinkers
приблизительно,однословные,нкря
признаться,однословные,нкря
признаться сказать,многословные,нкря
примерно,однословные,нкря
притом,однословные,нкря
причем,однословные,нкря
прости господи,многословные,нкря
проще говоря,многословные,нкря
проще сказать,многословные,ruslinkers
пусть так,многословные,нкря
ради бога,многословные,нкря
разумеется,однословные,ruslinkers;нкря
решительно,однословные,нкря
ровно,однословные,ruslinkers
с ... точки зрения,многокомпонентные,нкря
с вашего позволения,многословные,нкря
с вашего разрешения,многословные,нкря
с другой стороны,многословные,ruslinkers;мои
с одной стороны,многословные,мои
с одной стороны... но с другой,многокомпонентные,ruslinkers
с одной стороны... а с другой,многокомпонентные,ruslinkers
с одной стороны... но с другой стороны,многокомпонентные,ruslinkers
с одной стороны... а с другой cтороны,многокомпонентные,ruslinkers
с одной стороны... с другой,многокомпонентные,ruslinkers
с позволения сказать,многословные,нкря
с точки зрения,многословные,ruslinkers
с точки зрения ...,многокомпонентные,нкря
само собой,многословные,ruslinkers
само собой разумеется,многословные,ruslinkers
самое большее,многословные,мои
самое меньшее,многословные,мои
сверх того,многословные,ruslinkers;мои
серьезно,однословные,нкря
скажем,однословные,ruslinkers;нкря
сказать по чести,многословные,мои
скорее,однословные,нкря
скорее всего,многословные,нкря
скорей,однословные,нкря
скорей всего,многословные,нкря
слава аллаху,многословные,нкря
слава богу,многословные,нкря
слава господу,многословные,нкря
следовательно,однословные,ruslinkers;нкря
следственно,однословные,нкря
слов не хватает,многословные,нкря
словно нарочно,многословные,нкря
словом,однословные,ruslinkers;нкря
словом сказать,многословные,нкря
сложно сказать,многословные,нкря
случаем,однословные,нкря
случается,однословные,мои
случайно,однословные,нкря
слышно,однословные,нкря
смеем вас уверить,многословные,нкря
смешно сказать,многословные,мои
смею вас уверить,многословные,нкря
собственно,однословные,ruslinkers;нкря
собственно говоря,многословные,ruslinkers;нкря
согласитесь,однословные,мои
сообщают,однословные,мои
соответственно,однословные,нкря
сохрани бог,многословные,нкря
сохрани боже,многословные,нкря
спора нет,многословные,нкря
спору нет,многословные,нкря
стало быть,многословные,ruslinkers;нкря
странно,однословные,нкря
странное дело,многословные,мои
строго говоря,многословные,нкря
судя по всему,многословные,ruslinkers;нкря
так,однословные,ruslinkers;нкря
так или иначе,многословные,нкря
так сказать,многословные,нкря
таким образом,многословные,ruslinkers;нкря
тем более,многословные,ruslinkers
тем самым,многословные,ruslinkers
теоретически,однословные,нкря
точнее,однословные,ruslinkers;нкря
точнее говоря,многословные,ruslinkers
точнее сказать,многословные,ruslinkers;мои
точней,однословные,нкря
точно,однословные,нкря
точно нарочно,многословные,нкря
у изумлению,многословные,мои
увы,однословные,нкря
удивительное дело,многословные,мои
упаси бог,многословные,нкря
упаси боже,многословные,нкря
условно,однословные,нкря
условно говоря,многословные,нкря
фактически,однословные,нкря
хвала богу,многословные,нкря
хвала господу,многословные,нкря
хоть ты лопни,многословные,нкря
хоть ты тресни,многословные,нкря
чай,однословные,нкря
часом,однословные,нкря
чего доброго,многословные,мои
чем черт не шутит,многословные,нкря
черт ... бери,многокомпонентные,нкря
черт ... дери,многокомпонентные,нкря
черт ... побери,многокомпонентные,нкря
черт ... подери,многокомпонентные,нкря
черт возьми,многословные,нкря
черт побери,многословные,нкря
черт подери,многословные,нкря
честно,однословные,нкря
честно говоря,многословные,нкря
честно сказать,многословные,нкря
читай,однословные,ruslinkers
что называется,многословные,нкря
что ни говори,многословные,нкря
что поделаешь,многословные,нкря
что поделать,многословные,нкря
шутка ли,многословные,нкря
шутка ли сказать,многословные,нкря
шутка сказать,многословные,нкря
эдак,однословные,нкря
этта,однословные,нкря
явно,однословные,нкря
якобы,однословные,нкря
ясно,однословные,нкря
ясно одно,многословные,нкря
ясное дело,многословные,нкря
ясный перец,многословные,нкря
